0,90,500
37000,90,28
37000,89,44
37001,89,12
37001,88,40
37002,88,15
37002,87,21
37003,87,35
37004,86,19
37005,86,23
37006,86,20
37007,85,20
37008,85,17
37009,85,17
37010,84,16
37011,84,16
37012,84,14
37013,84,14
37014,83,14
37015,83,13
37016,83,13
37017,83,12
37018,82,12
37019,82,11
37020,82,12
37021,82,11
37022,82,11
37023,81,10
37024,81,11
37025,81,10
37026,81,17
37027,80,12
37029,80,10
37030,80,18
37032,80,16
37033,79,11
37035,79,17
37037,79,17
37039,79,10
37040,78,15
37042,78,15
37044,78,16
37046,78,15
37048,77,15
37050,77,14
37052,77,14
37054,77,15
37056,76,13
37058,76,14
37060,76,13
37062,76,13
37064,75,13
37066,75,13
37068,75,13
37070,75,12
37072,74,12
37074,74,13
37076,74,12
37078,74,11
37080,74,12
37082,73,12
37084,73,11
37086,73,11
37088,73,12
37090,73,11
37092,72,11
37094,72,11
37096,72,10
37098,72,11
37100,72,11
37102,71,10
37104,71,10
37106,71,11
37108,71,10
37110,71,10
37112,70,10
37114,70,10
37116,70,10
37118,70,10
37120,70,10
37122,70,14
37125,69,10
37127,69,14
37130,69,14
37133,69,14
37136,68,14
37139,68,14
37142,68,14
37145,68,13
37148,67,14
37151,67,13
37154,67,13
37157,67,11
37159,66,11
37162,66,13
37165,66,13
37168,66,12
37171,66,13
37174,65,13
37177,65,12
37180,65,13
37183,65,12
37186,64,12
37189,64,12
37192,64,12
37195,64,12
37198,64,12
37201,63,12
37204,63,12
37207,63,12
37210,63,12
37213,63,11
37216,62,12
37219,62,11
37222,62,12
37225,62,12
37228,61,11
37231,61,11
37234,61,11
37237,61,11
37240,61,11
37243,60,12
37246,60,11
37249,60,11
37252,60,11
37255,60,11
37258,59,10
37261,59,11
37264,59,11
37267,59,11
37270,59,11
37273,59,10
37276,58,11
37279,58,11
37282,58,10
37285,58,11
37288,58,10
37291,57,11
37294,57,10
37297,57,11
37300,57,10
37303,57,11
37306,56,10
37309,56,10
37312,56,11
37315,56,10
37318,56,10
37321,56,10
37324,55,11
37327,55,10
37330,55,10
37333,55,10
37336,55,10
37339,54,10
37342,54,10
37345,54,10
37348,54,10
37351,54,10
37354,54,10
37357,53,13
37361,53,10
37364,53,10
37367,53,10
37370,53,13
37374,52,10
37377,52,13
37381,52,10
37384,52,13
37388,51,13
37392,51,13
37396,51,13
37400,51,13
37404,51,10
37407,50,10
37410,50,10
37413,50,12
37417,50,13
37421,50,13
37425,49,10
37428,49,10
37431,49,12
37435,49,10
37438,49,10
37441,48,12
37445,48,10
37448,48,10
37451,48,12
37455,48,10
37458,47,10
37461,47,12
37465,47,13
37469,47,10
37472,47,12
37476,46,10
37479,46,10
37482,46,12
37486,46,13
37490,46,10
37493,45,12
37497,45,13
37501,45,10
37504,45,12
37508,45,13
37512,44,10
37515,44,12
37519,44,13
37523,44,12
37526,43,10
37530,43,10
37533,43,10
37536,43,12
37540,43,10
37543,43,10
37546,42,12
37550,42,10
37553,42,10
37556,42,12
37560,42,10
37563,41,10
37566,41,12
37570,41,13
37574,41,13
37578,41,10
37581,40,10
37584,40,12
37588,40,13
37592,40,13
37596,39,13
37600,39,13
37604,39,13
37608,39,13
37612,39,13
37616,38,10
37619,38,13
37623,38,10
37626,38,13
37630,37,10
37633,37,10
37636,37,10
37639,37,13
37643,37,10
37646,37,10
37649,36,10
37652,36,10
37655,36,11
37658,36,10
37661,36,10
37664,35,10
37667,35,10
37670,35,10
37673,35,10
37676,35,11
37679,35,10
37682,34,10
37685,34,10
37688,34,11
37691,34,10
37694,34,10
37697,33,11
37700,33,10
37703,33,11
37706,33,10
37709,33,11
37712,32,10
37715,32,11
37718,32,10
37721,32,11
37724,32,11
37727,32,10
37730,31,11
37733,31,11
37736,31,11
37739,31,11
37742,31,11
37745,30,11
37748,30,11
37751,30,11
37754,30,11
37757,30,11
37760,29,11
37763,29,11
37766,29,12
37769,29,11
37772,29,11
37775,28,12
37778,28,11
37781,28,12
37784,28,13
37787,27,10
37790,27,12
37793,27,12
37796,27,12
37799,27,12
37802,26,12
37805,26,12
37808,26,12
37811,26,12
37814,26,12
37817,25,13
37820,25,12
37823,25,13
37826,25,10
37828,24,11
37831,24,13
37834,24,12
37837,24,13
37840,24,13
37843,23,14
37846,23,13
37849,23,13
37852,23,14
37855,22,13
37858,22,14
37861,22,14
37864,22,14
37867,21,14
37870,21,14
37873,21,10
37875,21,14
37878,20,10
37880,20,10
37882,20,10
37884,20,10
37886,20,10
37888,20,10
37890,19,10
37892,19,10
37894,19,11
37896,19,10
37898,19,11
37900,18,10
37902,18,11
37904,18,11
37906,18,11
37908,18,11
37910,17,11
37912,17,11
37914,17,12
37916,17,11
37918,17,12
37920,16,12
37922,16,11
37924,16,13
37926,16,12
37928,16,12
37930,15,13
37932,15,12
37934,15,13
37936,15,13
37938,14,13
37940,14,14
37942,14,14
37944,14,14
37946,13,14
37948,13,14
37950,13,15
37952,13,12
37953,12,10
37955,12,16
37957,12,15
37959,12,15
37960,11,10
37962,11,17
37964,11,17
37966,11,11
37967,10,16
37969,10,18
37971,10,19
37973,10,10
37974,9,10
37975,9,10
37976,9,11
37977,9,10
37978,9,11
37979,8,11
37980,8,12
37981,8,11
37982,8,12
37983,8,12
37984,7,13
37985,7,13
37986,7,14
37987,7,14
37988,6,14
37989,6,16
37990,6,21
37991,5,12
37992,5,17
37993,5,27
37994,4,13
37995,4,23
37996,4,25
37997,3,29
37998,3,21
37998,2,15
37999,2,40
37999,1,12
38000,1,44
38000,0,28
0,0,500
